"test","item","spreadsheet","words","speaker_1","speaker_2"
1,1,"word_tonal","zhang_2","FV1_zhang_2_.mp3","FV2_zhang_2_.mp3"
1,1,"word_affricate","zhang_2","FV1_zhang_2_.mp3","FV2_zhang_2_.mp3"
1,1,"word_none","zhou_2","FV1_zhou_2_.mp3","FV2_zhou_2_.mp3"
1,2,"word_tonal","zhang_4","FV1_zhang_4_.mp3","FV2_zhang_4_.mp3"
1,2,"word_affricate","jiang_2","FV1_jiang_2_.mp3","FV2_jiang_2_.mp3"
1,2,"word_none","chang_4","FV1_chang_4_.mp3","FV2_chang_4_.mp3"
1,3,"word_tonal","chang_2","FV1_chang_2_.mp3","FV2_chang_2_.mp3"
1,3,"word_affricate","chang_4","FV1_chang_4_.mp3","FV2_chang_4_.mp3"
1,3,"word_none","jiong_2","FV1_jiong_2_.mp3","FV2_jiong_2_.mp3"
1,4,"word_tonal","chang_4","FV1_chang_4_.mp3","FV2_chang_4_.mp3"
1,4,"word_affricate","qiang_4","FV1_qiang_4_.mp3","FV2_qiang_4_.mp3"
1,4,"word_none","qia_4","FV1_qia_4_.mp3","FV2_qia_4_.mp3"
1,5,"word_tonal","jiu_2","FV1_jiu_2_.mp3","FV2_jiu_2_.mp3"
1,5,"word_affricate","zhou_2","FV1_zhou_2_.mp3","FV2_zhou_2_.mp3"
1,5,"word_none","zhen_2","FV1_zhen_2_.mp3","FV2_zhen_2_.mp3"
1,6,"word_tonal","jiu_4","FV1_jiu_4_.mp3","FV2_jiu_4_.mp3"
1,6,"word_affricate","jiu_2","FV1_jiu_2_.mp3","FV2_jiu_2_.mp3"
1,6,"word_none","chu_4","FV1_chu_4_.mp3","FV2_chu_4_.mp3"
1,7,"word_tonal","qiu_2","FV1_qiu_2_.mp3","FV2_qiu_2_.mp3"
1,7,"word_affricate","chou_4","FV1_chou_4_.mp3","FV2_chou_4_.mp3"
1,7,"word_none","jie_2","FV1_jie_2_.mp3","FV2_jie_2_.mp3"
1,8,"word_tonal","qiu_4","FV1_qiu_4_.mp3","FV2_qiu_4_.mp3"
1,8,"word_affricate","qiu_4","FV1_qiu_4_.mp3","FV2_qiu_4_.mp3"
1,8,"word_none","qian_4","FV1_qian_4_.mp3","FV2_qian_4_.mp3"
2,1,"word_tonal","zhong_2","FV1_zhong_2_.mp3","FV2_zhong_2_.mp3"
2,1,"word_affricate","zhong_2","FV1_zhong_2_.mp3","FV2_zhong_2_.mp3"
2,1,"word_none","zhong_2","FV1_zhong_2_.mp3","FV2_zhong_2_.mp3"
2,2,"word_tonal","jiong_2","FV1_jiong_2_.mp3","FV2_jiong_2_.mp3"
2,2,"word_affricate","jiong_2","FV1_jiong_2_.mp3","FV2_jiong_2_.mp3"
2,2,"word_none","jiong_2","FV1_jiong_2_.mp3","FV2_jiong_2_.mp3"
2,3,"word_tonal","zhong_4","FV1_zhong_4_.mp3","FV2_zhong_4_.mp3"
2,3,"word_affricate","zhong_4","FV1_zhong_4_.mp3","FV2_zhong_4_.mp3"
2,3,"word_none","zhong_4","FV1_zhong_4_.mp3","FV2_zhong_4_.mp3"
2,4,"word_tonal","jiong_4","FV1_jiong_4_.mp3","FV2_jiong_4_.mp3"
2,4,"word_affricate","jiong_4","FV1_jiong_4_.mp3","FV2_jiong_4_.mp3"
2,4,"word_none","jiong_4","FV1_jiong_4_.mp3","FV2_jiong_4_.mp3"
2,5,"word_tonal","cha_2","FV1_cha_2_.mp3","FV2_cha_2_.mp3"
2,5,"word_affricate","cha_2","FV1_cha_2_.mp3","FV2_cha_2_.mp3"
2,5,"word_none","cha_2","FV1_cha_2_.mp3","FV2_cha_2_.mp3"
2,6,"word_tonal","qia_2","FV1_qia_2_.mp3","FV2_qia_2_.mp3"
2,6,"word_affricate","qia_2","FV1_qia_2_.mp3","FV2_qia_2_.mp3"
2,6,"word_none","qia_2","FV1_qia_2_.mp3","FV2_qia_2_.mp3"
2,7,"word_tonal","cha_4","FV1_cha_4_.mp3","FV2_cha_4_.mp3"
2,7,"word_affricate","cha_4","FV1_cha_4_.mp3","FV2_cha_4_.mp3"
2,7,"word_none","cha_4","FV1_cha_4_.mp3","FV2_cha_4_.mp3"
2,8,"word_tonal","qia_4","FV1_qia_4_.mp3","FV2_qia_4_.mp3"
2,8,"word_affricate","qia_4","FV1_qia_4_.mp3","FV2_qia_4_.mp3"
2,8,"word_none","qia_4","FV1_qia_4_.mp3","FV2_qia_4_.mp3"
